,,,,,,,,,Season
A,10,Bowl'd Peanuts,24,5,7,10,490.7 (14),853.3 (16),XXX
B,1,Gutter Mouths,53,7,19,15,505.3 (13),878.2 (4),XXX
B,2,Pin-Ups,50,2,17,16,521.0 (11),874.9 (7),XXX
B,3,Alley Oops,48,9,14,20,560.1 (6),890.9 (2),XXX
B,4,Lucky Strikes,46,5,15,16,564.7 (5),876.3 (6),XXX
B,5,Fancy Pants,44,6,15,14,455.4 (17),868.9 (9),XXX
B,6,E-Bowla,38,0,13,12,553.0 (7),866.6 (10),XXX
B,7,Stinky Cheese,36,4,12,12,597.6 (1),864.9 (12),XXX
B,8,Gutterglory,35,4,12,11,513.0 (12),859.9 (15),XXX
B,9,Hot Shotz,34,6,11,12,540.4 (8),863.6 (13),XXX
B,10,Smoke-A-Bowl,22,3,7,8,422.0 (20),849.6 (20),XXX
,,,,,,,,,
A,1,Sparadigm Shift,56,5,18,20,552.7 (9),894.0 (2),XXIX
A,2,Stinky Cheese,54,3,19,16,653.2 (1),884.0 (6),XXIX
A,3,Vandal-Lane Industries,47,9,15,17,563.9 (8),885.2 (5),XXIX
A,4,Hot Shotz,43,3,15,13,577.7 (7),882.2 (7),XXIX
A,5,Wolf Splitzers,38,7,12,14,624.7 (4),879.3 (8),XXIX
A,6,Smoke-A-Bowl,36,0,11,14,479.0 (16),891.6 (4),XXIX
A,7,Valley of the Balls,35,8,12,11,518.9 (13),872.6 (13),XXIX
A,8,Gutterglory,33,6,11,11,544.9 (10),870.9 (16),XXIX
A,9,The Manute Bowlers,31,0,10,11,464.8 (18),864.1 (20),XXIX
A,10,Lucky Strikes,29,0,9,11,631.0 (3),870.8 (17),XXIX
B,1,Fancy Pants,55,1,17,21,497.6 (15),904.3 (1),XXIX
B,2,The Boom Kings,47,7,15,17,587.5 (6),892.5 (3),XXIX
B,3,Pin-Ups,46,4,16,14,518.9 (12),879.0 (9),XXIX
B,4,The Guttersnipes,45,3,15,15,473.9 (17),877.5 (11),XXIX
B,5,Gutter Mouths,41,5,14,13,509.0 (14),878.2 (10),XXIX
B,6,Wild Llamas,40,9,14,12,632.4 (2),872.2 (14),XXIX
B,7,E-Bowla,35,8,13,9,607.6 (5),871.3 (15),XXIX
B,8,Bowl Durham,34,2,13,8,440.9 (20),867.0 (18),XXIX
B,9,Alley Oops,29,0,10,9,520.9 (11),866.6 (19),XXIX
B,10,Bowl'd Peanuts,27,4,7,13,461.4 (19),874.8 (12),XXIX
,,,,,,,,,
A,1,Valley of the Balls,56,4,18,20,530.9 (11),908.1 (1),XXVIII
A,2,Fancy Pants,53,8,19.5,14,454.1 (17),877.7 (10),XXVIII
A,3,Wolf Splitzers,52,4,17,18,627.9 (3),886.1 (5),XXVIII
A,4,The Guttersnipes,43,7,13,17,454.0 (18),893.1 (4),XXVIII
A,5,Vandal-Lane Industries,41,0,14,13,552.5 (7),882.7 (7),XXVIII
A,6,Pin-Ups,39,8,15,9,503.4 (13),860.6 (18),XXVIII
A,7,Lucky Strikes,38,7,12.5,13,498.2 (14),874.0 (12),XXVIII
A,8,Gutter Mouths,30,0,9,12,483.0 (16),870.3 (15),XXVIII
A,9,Hot Shotz,29,0,8,13,556.7 (6),870.4 (14),XXVIII
A,10,Sparely Legal,24,2,9,6,485.5 (15),858.4 (19),XXVIII
